r_t1, r_t2, c_prob, c_prob_epoch, cp, obs_cp
0.000000,2.742388,1.000000,0.000000,0.000000,0.000000
0.000000,1.360173,1.000000,0.000000,0.000000,0.000000
0.000000,2.833749,1.000000,0.000000,0.000000,0.000000
0.000000,1.571071,1.000000,0.000000,0.000000,0.000000
0.000000,2.530708,1.000000,0.000000,0.000000,0.000000
0.000000,4.153354,1.000000,0.000000,0.000000,0.000000
0.000000,2.061826,1.000000,0.000000,0.000000,0.000000
0.000000,3.029395,1.000000,0.000000,0.000000,0.000000
0.000000,2.826236,1.000000,0.000000,0.000000,0.000000
0.000000,2.690236,1.000000,0.000000,0.000000,0.000000
0.000000,2.417968,1.000000,0.000000,0.000000,0.000000
0.000000,3.445670,1.000000,0.000000,0.000000,0.000000
0.000000,3.037114,1.000000,0.000000,0.000000,0.000000
0.000000,3.998643,1.000000,0.000000,0.000000,0.000000
0.000000,2.991962,1.000000,0.000000,0.000000,0.000000
0.000000,3.618961,1.000000,0.000000,0.000000,0.000000
0.000000,2.901396,1.000000,0.000000,0.000000,0.000000
0.000000,4.281246,1.000000,0.000000,0.000000,0.000000
0.000000,3.699482,1.000000,0.000000,0.000000,0.000000
0.000000,2.695059,1.000000,0.000000,0.000000,0.000000
0.000000,2.633627,1.000000,0.000000,0.000000,0.000000
0.000000,3.707022,1.000000,0.000000,0.000000,0.000000
0.000000,2.638988,1.000000,0.000000,0.000000,0.000000
0.000000,1.958811,1.000000,0.000000,0.000000,0.000000
0.000000,3.096190,1.000000,0.000000,0.000000,0.000000
0.000000,2.455778,1.000000,0.000000,0.000000,0.000000
0.000000,3.663260,1.000000,0.000000,0.000000,0.000000
0.000000,5.550586,1.000000,0.000000,0.000000,0.000000
0.000000,5.050665,1.000000,0.000000,0.000000,0.000000
0.000000,3.861872,1.000000,0.000000,0.000000,0.000000
0.000000,3.920741,1.000000,0.000000,0.000000,0.000000
0.000000,3.084903,1.000000,0.000000,0.000000,0.000000
0.000000,3.859279,1.000000,0.000000,0.000000,0.000000
0.000000,2.813604,1.000000,0.000000,0.000000,0.000000
4.197216,0.000000,1.000000,1.000000,1.000000,1.000000
3.402454,0.000000,1.000000,1.000000,0.000000,0.000000
2.856399,0.000000,1.000000,1.000000,0.000000,0.000000
3.085878,0.000000,1.000000,1.000000,0.000000,0.000000
3.820886,0.000000,1.000000,1.000000,0.000000,0.000000
2.775407,0.000000,1.000000,1.000000,0.000000,0.000000
2.464208,0.000000,1.000000,1.000000,0.000000,0.000000
2.363092,0.000000,1.000000,1.000000,0.000000,0.000000
