r_t1, r_t2, c_prob, c_prob_epoch, cp, obs_cp
0.000000,2.742388,1.000000,0.000000,0.000000,0.000000
0.000000,1.360173,1.000000,0.000000,0.000000,0.000000
0.000000,2.833749,1.000000,0.000000,0.000000,0.000000
0.000000,1.571071,1.000000,0.000000,0.000000,0.000000
0.000000,2.530708,1.000000,0.000000,0.000000,0.000000
0.000000,4.153354,1.000000,0.000000,0.000000,0.000000
0.000000,2.061826,1.000000,0.000000,0.000000,0.000000
3.029395,0.000000,1.000000,1.000000,1.000000,1.000000
2.826236,0.000000,1.000000,1.000000,0.000000,0.000000
2.690236,0.000000,1.000000,1.000000,0.000000,0.000000
2.417968,0.000000,1.000000,1.000000,0.000000,0.000000
3.445670,0.000000,1.000000,1.000000,0.000000,0.000000
3.037114,0.000000,1.000000,1.000000,0.000000,0.000000
3.998643,0.000000,1.000000,1.000000,0.000000,0.000000
2.991962,0.000000,1.000000,1.000000,0.000000,0.000000
0.000000,3.618961,1.000000,0.000000,1.000000,1.000000
0.000000,2.901396,1.000000,0.000000,0.000000,0.000000
0.000000,4.281246,1.000000,0.000000,0.000000,0.000000
0.000000,3.699482,1.000000,0.000000,0.000000,0.000000
0.000000,2.695059,1.000000,0.000000,0.000000,0.000000
0.000000,2.633627,1.000000,0.000000,0.000000,0.000000
0.000000,3.707022,1.000000,0.000000,0.000000,0.000000
2.638988,0.000000,1.000000,1.000000,1.000000,1.000000
1.958811,0.000000,1.000000,1.000000,0.000000,0.000000
3.096190,0.000000,1.000000,1.000000,0.000000,0.000000
2.455778,0.000000,1.000000,1.000000,0.000000,0.000000
3.663260,0.000000,1.000000,1.000000,0.000000,0.000000
5.550586,0.000000,1.000000,1.000000,0.000000,0.000000
5.050665,0.000000,1.000000,1.000000,0.000000,0.000000
3.861872,0.000000,1.000000,1.000000,0.000000,0.000000
3.920741,0.000000,1.000000,1.000000,0.000000,0.000000
3.084903,0.000000,1.000000,1.000000,0.000000,0.000000
0.000000,3.859279,1.000000,0.000000,1.000000,1.000000
0.000000,2.813604,1.000000,0.000000,0.000000,0.000000
0.000000,4.197216,1.000000,0.000000,0.000000,0.000000
0.000000,3.402454,1.000000,0.000000,0.000000,0.000000
0.000000,2.856399,1.000000,0.000000,0.000000,0.000000
0.000000,3.085878,1.000000,0.000000,0.000000,0.000000
0.000000,3.820886,1.000000,0.000000,0.000000,0.000000
0.000000,2.775407,1.000000,0.000000,0.000000,0.000000
0.000000,2.464208,1.000000,0.000000,0.000000,0.000000
0.000000,2.363092,1.000000,0.000000,0.000000,0.000000
